tweet_text,cyberbullying_type,word_count,cleaned_text,label
McDonald’s can’t dodge responsibility for sexual #harassment at its restaurants. #MeToo [Good to see some focus on… https://t.co/vMXD7buLIa,Sexual Harassment,18,mcdonalds cant dodge responsibility for sexual  at its restaurants  good to see some focus on,3
It’s an honor to share a byline with ⁦@RepSpeier⁩ in ⁦@rollcall⁩ this morning — read our piece about why it’s time… https://t.co/WkjVmMF2xX,Sexual Harassment,22,its an honor to share a byline with  in  this morning  read our piece about why its time,3
"Rivers lecturers suspended over alleged sexual harassment, corruption https://t.co/OqBe2nWCZy",Sexual Harassment,9,rivers lecturers suspended over alleged sexual harassment corruption,3
#NewPost :  Chris Cuomo Breaks Silence About Andrew Cuomo's Resignation Amid Sexual Harassment Allegations… https://t.co/NnmoTfZYTz,Sexual Harassment,15,chris cuomo breaks silence about andrew cuomos resignation amid sexual harassment allegations,3
It is likely that soon Mark Twain and Abraham Lincoln will be accused of sexual harassment.,Sexual Harassment,16,it is likely that soon mark twain and abraham lincoln will be accused of sexual harassment,3
@VP I agree but Biden's Afghanistan speech yesterday was as tone deaf and career ending as Cuomo's sexual harassmen… https://t.co/76iN0MnMO8,Sexual Harassment,20,i agree but bidens afghanistan speech yesterday was as tone deaf and career ending as cuomos sexual harassmen,3
"#TDTY #17August #Year1990
Event of Interest:
Phyllis Polander sues Mike Tyson for sexual harassment",Sexual Harassment,14,"event of interest
phyllis polander sues mike tyson for sexual harassment",3
"@Kola_Omobusola @Anita_Izato You implied he was a predator in your previous response. 

Also, my 18 year-old daught… https://t.co/qoq6RpdIDV",Sexual Harassment,18,"you implied he was a predator in your previous response 

also my 18 yearold daught",3
@maggieNYT Biden's Afghanistan speech yesterday was as tone deaf and career ending as Cuomo's sexual harassment spe… https://t.co/bvW95cB8kH,Sexual Harassment,18,bidens afghanistan speech yesterday was as tone deaf and career ending as cuomos sexual harassment spe,3
@wolfblitzer Biden's Afghanistan speech yesterday was as tone deaf and career ending as Cuomo's sexual harassment s… https://t.co/hIXYNARorb,Sexual Harassment,18,bidens afghanistan speech yesterday was as tone deaf and career ending as cuomos sexual harassment s,3
@Acosta Biden's Afghanistan speech yesterday was as tone deaf and career ending as Cuomo's sexual harassment speech… https://t.co/7XLFuI4GSz,Sexual Harassment,18,bidens afghanistan speech yesterday was as tone deaf and career ending as cuomos sexual harassment speech,3
@morningmika Biden's Afghanistan speech yesterday was as tone deaf and career ending as Cuomo's sexual harassment s… https://t.co/Bd2ovARiDy,Sexual Harassment,18,bidens afghanistan speech yesterday was as tone deaf and career ending as cuomos sexual harassment s,3
Today: New York State Governor Andrew Cuomo announced last week that he’s resigning amidst allegations of sexual ha… https://t.co/szF4ZgPibk,Sexual Harassment,19,today new york state governor andrew cuomo announced last week that hes resigning amidst allegations of sexual ha,3
"This up with ppl and they all said that's literally sexual harassment, and when I told him I was uncomftorable and… https://t.co/jMQgxSu5DQ",Sexual Harassment,22,this up with ppl and they all said thats literally sexual harassment and when i told him i was uncomftorable and,3
nice sjw mental illness vs sjw sexual harassment. https://t.co/kxK0mMJII2,Sexual Harassment,9,nice sjw mental illness vs sjw sexual harassment,3
"Rivers Lecturers Suspended Over Alleged Sexual Harassment, Extortion https://t.co/I6QOFGme1X",Sexual Harassment,9,rivers lecturers suspended over alleged sexual harassment extortion,3
@ChrisRigg5 @JGDavison94 Of course. A lot of people (and bots) are awful and don't see the creepy-ass problem with… https://t.co/sFR0mlOoU6,Sexual Harassment,20,of course a lot of people and bots are awful and dont see the creepyass problem with,3
"@ChandaMbao Powerful as praying is, it shouldn't end there.
As one of the influential individuals in society, why d… https://t.co/Eu0fVJcsgF",Sexual Harassment,20,"powerful as praying is it shouldnt end there
as one of the influential individuals in society why d",3
"// sexual harassment , suicide

can I send you a dm its kind of important",Sexual Harassment,15,"sexual harassment  suicide

can i send you a dm its kind of important",3
"I’m awake now so tw//sexual harassment
.
.
.
.
.
.
.
did you get the message about her?",Sexual Harassment,20,"im awake now so twsexual harassment







did you get the message about her",3
"“There’s a lot of harassment and sexual harassment from my boss…When I said I’m going abroad, he said “Jas has a bo… https://t.co/5F6OA2exG9",Sexual Harassment,23,theres a lot of harassment and sexual harassment from my bosswhen i said im going abroad he said jas has a bo,3
The Resignation of Andrew Cuomo https://t.co/fXo78xugka https://t.co/F9MQR2YzuN,Sexual Harassment,7,the resignation of andrew cuomo,3
The Resignation of Andrew Cuomo https://t.co/RQLvfte1FL https://t.co/LdBrmgHLBf,Sexual Harassment,7,the resignation of andrew cuomo,3
The Resignation of Andrew Cuomo https://t.co/DBoBHGafSI https://t.co/IOFsM4cVpt,Sexual Harassment,7,the resignation of andrew cuomo,3
The Resignation of Andrew Cuomo https://t.co/BCdW4Ca3DT https://t.co/seBfc8534T,Sexual Harassment,7,the resignation of andrew cuomo,3
The Resignation of Andrew Cuomo https://t.co/ndCbl0fPp6 https://t.co/JYuAoUJcTj,Sexual Harassment,7,the resignation of andrew cuomo,3
Has it occurred to anyone that #Cuomo may have fabricated the sexual harassment alligations himself so as to distra… https://t.co/BOL68TM7yu,Sexual Harassment,20,has it occurred to anyone that  may have fabricated the sexual harassment alligations himself so as to distra,3
"Sexual Assault 
Sexual assault 
Sexual harassment!

They should just say it! https://t.co/bwnNrzvCey",Sexual Harassment,12,"sexual assault 
sexual assault 
sexual harassment

they should just say it",3
"// sexual harassment , suicide

can i send u guys a dm its kind of important, not related to bts",Sexual Harassment,20,"sexual harassment  suicide

can i send u guys a dm its kind of important not related to bts",3
@NyxGreenfyre @Jeopardy It was not Sexual harassment. Read it. His name was later taken off !!,Sexual Harassment,16,it was not sexual harassment read it his name was later taken off,3
@Buzzsaws1990 @EROTHCJ5 A lot of hazing goes on in sports &amp; also women's teams are notorious for lesbian pressure.… https://t.co/h537d2Isx2,Sexual Harassment,20,a lot of hazing goes on in sports amp also womens teams are notorious for lesbian pressure,3
"Women Veterans didn't receive any kind of mental healthcare through the VA until the 80's, even though women had be… https://t.co/W12xtmcc3v",Sexual Harassment,21,women veterans didnt receive any kind of mental healthcare through the va until the 80s even though women had be,3
"🌅 #GodMorningTuesday
STOP WATCHING MOVIES!
Movies are the instigators of sexual harassment.

""Kindly Visit  SANT RA… https://t.co/BvQdBGO2so",Sexual Harassment,17,"stop watching movies
movies are the instigators of sexual harassment

kindly visit  sant ra",3
Maybe not sexual harassment but definitely a red card https://t.co/0Kwka5WRio,Sexual Harassment,10,maybe not sexual harassment but definitely a red card,3
"@JustNanaAma They are twisting the Bible to suit their nefarious activities, the priest should be jailed.. what he… https://t.co/h25Ep221tN",Sexual Harassment,19,they are twisting the bible to suit their nefarious activities the priest should be jailed what he,3
@Shaun24911382 @SusanFairweathe @DawnButlerBrent Guess you’re not reading…. Then there was the hull by election can… https://t.co/AXjA5NuCcq,Sexual Harassment,16,guess youre not reading then there was the hull by election can,3
This is sexual harassment he should be banned for 4 games and we should be given the win https://t.co/BJf6tSER8o,Sexual Harassment,19,this is sexual harassment he should be banned for 4 games and we should be given the win,3
love sexual harassment https://t.co/CeUvuFhYkA,Sexual Harassment,4,love sexual harassment,3
What the Anglican Church need to do is immediately remove this man from his post snd not let him within 10 inches a… https://t.co/4HZoRpJP2W,Sexual Harassment,24,what the anglican church need to do is immediately remove this man from his post snd not let him within 10 inches a,3
"""We must make sure the public narrative around sexual assault includes all victims""

An important message on inters… https://t.co/4HW51xBn6B",Sexual Harassment,19,"we must make sure the public narrative around sexual assault includes all victims

an important message on inters",3
"@Inkredible_B @Citi973 You have no fact , do you know the number of people who have accuse you of sexual harassment ?",Sexual Harassment,22,you have no fact  do you know the number of people who have accuse you of sexual harassment,3
"On this day in 1998, Bill Clinton became the first sitting US President to give testimony before a grand jury (as t… https://t.co/wvMyxGvPtU",Sexual Harassment,23,on this day in 1998 bill clinton became the first sitting us president to give testimony before a grand jury as t,3
"// sexual harassment , suicide

can I send you a dm its kind of important",Sexual Harassment,15,"sexual harassment  suicide

can i send you a dm its kind of important",3
"🌅 #GodMorningTuesday
STOP WATCHING MOVIES!
Movies are the instigators of sexual harassment.

""Kindly Visit  SANT RA… https://t.co/yY4HTGyHzY",Sexual Harassment,17,"stop watching movies
movies are the instigators of sexual harassment

kindly visit  sant ra",3
"🌅 #GodMorningTuesday
STOP WATCHING MOVIES!
Movies are the instigators of sexual harassment.

""Kindly Visit  SANT RA… https://t.co/JPAUunHQg0",Sexual Harassment,17,"stop watching movies
movies are the instigators of sexual harassment

kindly visit  sant ra",3
"@Citi973 Sexual harassment. Not appropriate, no matter the reason.",Sexual Harassment,9,sexual harassment not appropriate no matter the reason,3
"@stilesjrn @redhead_ordead Woman: I've had a horrible sexual harassment incident just now.
Man: How can I make this… https://t.co/rhjIOlkjlu",Sexual Harassment,19,"woman ive had a horrible sexual harassment incident just now
man how can i make this",3
It’s harassment and bullying something which @DepSecDef @SecDef @SecArmy apparently take stand on but do nothing ab… https://t.co/iPHmA7xPrt,Sexual Harassment,18,its harassment and bullying something which    apparently take stand on but do nothing ab,3
I'm currently downplaying an experience of sexual harassment and personal space violation because I don't know where to put it,Sexual Harassment,20,im currently downplaying an experience of sexual harassment and personal space violation because i dont know where to put it,3
🔊 CATCALLED IS NOT A SOMETHING YOU SHOULD BE PROUD OF LADIES! IT IS A PART OF SEXUAL HARASSMENT https://t.co/RYNjJR0crU,Sexual Harassment,20,catcalled is not a something you should be proud of ladies it is a part of sexual harassment,3
"// sexual harassment , suicide

can i send u guys a dm its kind of important",Sexual Harassment,16,"sexual harassment  suicide

can i send u guys a dm its kind of important",3
@ArmoniasHQ @PunishdJim @D_DiscipIe I've had to argue with his fans multiple times about claims he made about the c… https://t.co/4P77uRYdqS,Sexual Harassment,20,ive had to argue with his fans multiple times about claims he made about the c,3
"Dear Anglican Hierarchy in Ghana: ""Any psychological issues that may arise"" will be as a result of your priest kiss… https://t.co/gPvmVZ4HId",Sexual Harassment,21,dear anglican hierarchy in ghana any psychological issues that may arise will be as a result of your priest kiss,3
"🌅 #GodMorningTuesday
STOP WATCHING MOVIES!
Movies are the instigators of sexual harassment.

""Kindly Visit  SANT RA… https://t.co/LUPucqreps",Sexual Harassment,17,"stop watching movies
movies are the instigators of sexual harassment

kindly visit  sant ra",3
"// sexual harassment , suicide

can i send u guys a dm its kind of important",Sexual Harassment,16,"sexual harassment  suicide

can i send u guys a dm its kind of important",3
@tweetscottyb I think sexual harassment is more common in your country 🥴,Sexual Harassment,12,i think sexual harassment is more common in your country,3
"@GameSpot Translation: Please ignore all the sexual misconduct and harassment that is happening at Ubisoft, please… https://t.co/zYP7moaK0z",Sexual Harassment,17,translation please ignore all the sexual misconduct and harassment that is happening at ubisoft please,3
"CNN’s Chris Cuomo Attacks Critics, Admits He Urged Brother Andrew Cuomo To Resign As NY Governor Over Sexual Harass… https://t.co/o0Ygl2z6kD",Sexual Harassment,20,cnns chris cuomo attacks critics admits he urged brother andrew cuomo to resign as ny governor over sexual harass,3
"@ahqweci @AkosuaLexeS Learn the concept of sexual harassment then you'll realize you made an ignorant statement, wh… https://t.co/lD3HPLIsEL",Sexual Harassment,18,learn the concept of sexual harassment then youll realize you made an ignorant statement wh,3
"@Tukuarika @bellboy905 @SenLummis @GOP HOW, Please site some things Biden has done in 49 years other then enrich hi… https://t.co/SfhYREkmuA",Sexual Harassment,20,how please site some things biden has done in 49 years other then enrich hi,3
Hateful emojis. https://t.co/QRZmOpRJTp via @YouTube This just cracks me up… anyone sends you a aubergine emoji tha… https://t.co/4ZwSEzc99x,Sexual Harassment,18,hateful emojis  via  this just cracks me up anyone sends you a aubergine emoji tha,3
"Rivers Lecturers Suspended Over Alleged Sexual Harassment, Extortion https://t.co/Gotcy5RmdQ",Sexual Harassment,9,rivers lecturers suspended over alleged sexual harassment extortion,3
A female sergeant of the Navy's 2nd Fleet Command committed suicide. The cause is sexual harassment by the superior… https://t.co/FRdkDOT2lg,Sexual Harassment,20,a female sergeant of the navys 2nd fleet command committed suicide the cause is sexual harassment by the superior,3
Here's your daily reminder that @Dexerto loves sexual harassment and sponsors the shit out of it. https://t.co/cErhFJkO8R,Sexual Harassment,17,heres your daily reminder that  loves sexual harassment and sponsors the shit out of it,3
#KeralaSolarScam: CBI begins inquiry into sexual harassment case against Congress’ Oomen Chandy https://t.co/tVx5md0R1l via @scroll_in,Sexual Harassment,15,cbi begins inquiry into sexual harassment case against congress oomen chandy  via,3
Because people like meeya here is why people fucking normalised sexual harassment. It's never okay to catcall. You… https://t.co/1MBwxsz36C,Sexual Harassment,19,because people like meeya here is why people fucking normalised sexual harassment its never okay to catcall you,3
"Rivers Lecturers Suspended Over Alleged Sexual Harassment, Extortion https://t.co/JRJkS9aK5T",Sexual Harassment,9,rivers lecturers suspended over alleged sexual harassment extortion,3
@nuongfaalong Absolute right. The man had to face the law. Unwanted sexual harassment.,Sexual Harassment,13,absolute right the man had to face the law unwanted sexual harassment,3
Gov Cuomo's recently announced resignation serves as an important reminder for NY staffing firms to ensure all of t… https://t.co/N5RaYhH9hl,Sexual Harassment,20,gov cuomos recently announced resignation serves as an important reminder for ny staffing firms to ensure all of t,3
@AdrumbleAlt the first would be sexual harassment and yes that is considering grooming still since you’re a minor and he’s an adult,Sexual Harassment,22,the first would be sexual harassment and yes that is considering grooming still since youre a minor and hes an adult,3
@okiameep Sexual harassment,Sexual Harassment,3,sexual harassment,3
@CharlesDakwa @JustNanaAma Transferred? He should be under a jail for the certain sexual harassment he is doing,Sexual Harassment,17,transferred he should be under a jail for the certain sexual harassment he is doing,3
@KanyNusrat @frank_bannerman @daddys_girltn Whether underage or not if you're about to kiss someone and you notice… https://t.co/0TdjLVpGU6,Sexual Harassment,17,whether underage or not if youre about to kiss someone and you notice,3
@KanyNusrat @frank_bannerman @daddys_girltn Whether underage or not if you're about to kiss someone and you notice… https://t.co/0TdjLVpGU6,Sexual Harassment,17,whether underage or not if youre about to kiss someone and you notice,3
"The resignation will be effective in 14 days, Cuomo said, at which point he will be replaced by second-in-command K… https://t.co/QR45kES6uM",Sexual Harassment,21,the resignation will be effective in 14 days cuomo said at which point he will be replaced by secondincommand k,3
"@KadirAbdulSomed @JustNanaAma No, it means they were nervous, felt awkward,knew it was wrong, but they were unsure… https://t.co/JE43hNLxCe",Sexual Harassment,18,no it means they were nervous felt awkwardknew it was wrong but they were unsure,3
Chris Cuomo Breaks Silence About Andrew Cuomo’s Resignation Amid Sexual Harassment Allegations… https://t.co/xBTnxKiG13,Sexual Harassment,13,chris cuomo breaks silence about andrew cuomos resignation amid sexual harassment allegations,3
Anyway! Now is a good time to ask your church leadership about a sexual harassment policy.,Sexual Harassment,16,anyway now is a good time to ask your church leadership about a sexual harassment policy,3
The Source |Chris Cuomo Breaks Silence About Andrew Cuomo’s Resignation Amid Sexual Harassment Allegations https://t.co/QAI77LoIgp,Sexual Harassment,15,the source chris cuomo breaks silence about andrew cuomos resignation amid sexual harassment allegations,3
Our Fair Housing section is a great resource for Agents! NEW in our Fair Housing section:  “Fair Housing and Sexual… https://t.co/JEZ1C0wOku,Sexual Harassment,21,our fair housing section is a great resource for agents new in our fair housing section  fair housing and sexual,3
Our Fair Housing section is a great resource for Agents! NEW in our Fair Housing section:  “Fair Housing and Sexual… https://t.co/lD9mpkkfyW,Sexual Harassment,21,our fair housing section is a great resource for agents new in our fair housing section  fair housing and sexual,3
sending porn unsolicited is always sexual harassment,Sexual Harassment,7,sending porn unsolicited is always sexual harassment,3
"@coffee_anytime You didn't have to sit through a sexual harassment session yet, did you?",Sexual Harassment,14,you didnt have to sit through a sexual harassment session yet did you,3
"On today’s podcast:

- What's next for private tutoring businesses?

- Experts demand stronger laws to counter work… https://t.co/veFPGLp6yO",Sexual Harassment,19,"on todays podcast

 whats next for private tutoring businesses

 experts demand stronger laws to counter work",3
"Riot must let workers talk to ‘unlawful workplace’ investigators, California says - Polygon / More stories at… https://t.co/Dq7oUN52bc",Sexual Harassment,18,riot must let workers talk to unlawful workplace investigators california says  polygon  more stories at,3
@AfricanPolymath @AngryAth @Curious_Jonn If there were no other books in the world and we had to use the Bible as a… https://t.co/SlR4f0XR14,Sexual Harassment,22,if there were no other books in the world and we had to use the bible as a,3
"// tw sexual harassment
Hi so the ""did you get the message about her"" tweets are about this , please report the two… https://t.co/t0tnnz4TTZ",Sexual Harassment,24,"tw sexual harassment
hi so the did you get the message about her tweets are about this  please report the two",3
Chris Cuomo Breaks Silence About Andrew Cuomo’s Resignation Amid Sexual Harassment Allegations https://t.co/YJirxZ8JZI,Sexual Harassment,13,chris cuomo breaks silence about andrew cuomos resignation amid sexual harassment allegations,3
@farenthold Did this longcon hit youi? Or @SenFranken https://t.co/0J1VqCnWxs  Use of alienation of accused rights… https://t.co/2Ms00Aifze,Sexual Harassment,16,did this longcon hit youi or    use of alienation of accused rights,3
"@medyazenci @_alice_evans @aslicansunar Hardly means anything.
3 drawings out of over 150 in a book that is present… https://t.co/mrDVvwzkmo",Sexual Harassment,19,"hardly means anything
3 drawings out of over 150 in a book that is present",3
* ARTICLE CREATOR ONLINE * Create UNIQUE content in a click! https://t.co/y1UXJ7nxpy * NYC requires proof of vaccin… https://t.co/DFNwrNG77Z,Sexual Harassment,19,article creator online  create unique content in a click   nyc requires proof of vaccin,3
"@Tyler_Polumbus If you look at it in a vacuum and ignore all the external stuff going on with Louis CK, Louie is a… https://t.co/HAiaLkj8Xz",Sexual Harassment,24,if you look at it in a vacuum and ignore all the external stuff going on with louis ck louie is a,3
TW // sexual harassment https://t.co/OaRS1GLr0W,Sexual Harassment,5,tw  sexual harassment,3
"Please note that when you say it's not harassment/assault because the victim laughed, it's just as stupid as saying… https://t.co/deyK5SGvdR",Sexual Harassment,20,please note that when you say its not harassmentassault because the victim laughed its just as stupid as saying,3
California claims Riot is delaying its sexual harassment investigation https://t.co/cR4zKkuwJB,Sexual Harassment,10,california claims riot is delaying its sexual harassment investigation,3
California claims Riot is delaying its sexual harassment investigation https://t.co/3Z04iLyOvg,Sexual Harassment,10,california claims riot is delaying its sexual harassment investigation,3
Lotta these comments on women/generally fem people on tiktok are unabashed sexual harassment,Sexual Harassment,13,lotta these comments on womengenerally fem people on tiktok are unabashed sexual harassment,3
@lilbo_lilbo @Lunaromanis @infamous_dinero @sgrate__ Sexual assault happens to lots of people. Some of them freeze… https://t.co/JavvIoSXIU,Sexual Harassment,16,sexual assault happens to lots of people some of them freeze,3
"🌅 #GodMorningTuesday
STOP WATCHING MOVIES!
Movies are the instigators of sexual harassment.

""Kindly Visit  SANT RA… https://t.co/02yAq7pcj6",Sexual Harassment,17,"stop watching movies
movies are the instigators of sexual harassment

kindly visit  sant ra",3
Latest IFEX Africa Brief: regional court @ecowas_cedeao  orders Nigerian government to compensate tortured journali… https://t.co/SWt0uDJjsm,Sexual Harassment,15,latest ifex africa brief regional court   orders nigerian government to compensate tortured journali,3
"tw: sexual harassment
tw: scenes of violence
tw: mentions of rape and depression
-❤️🎢

https://t.co/NR9gvX9p8Y",Sexual Harassment,15,"tw sexual harassment
tw scenes of violence
tw mentions of rape and depression",3
CNN's Chris Cuomo Addresses Brother Andrew's Resignation Amid Sexual Harassment Accusations https://t.co/z24pX6apBo,Sexual Harassment,12,cnns chris cuomo addresses brother andrews resignation amid sexual harassment accusations,3
Help your workplace be a safe space! How to prevent sexual harassment in your agribusiness: https://t.co/VwzIP10nzt,Sexual Harassment,16,help your workplace be a safe space how to prevent sexual harassment in your agribusiness,3
"[Watch] #FochvilleSecondary The meeting between the SGB, the principal &amp; district officials at the school has concl… https://t.co/hG0KJkuv2M",Sexual Harassment,18,watch  the meeting between the sgb the principal amp district officials at the school has concl,3
@AfiaDrah I now understand the jubilation and cheers from the congregation. These students still haven’t seen anyth… https://t.co/YyFgUyBCGX,Sexual Harassment,18,i now understand the jubilation and cheers from the congregation these students still havent seen anyth,3
"@kwesikwaa @panjianoff @tv3_ghana It's not the same thing. Framing it as ""just kissing"" means that people can prete… https://t.co/3QThkafohT",Sexual Harassment,19,its not the same thing framing it as just kissing means that people can prete,3
Kids going to college? Here's what you need to know about #TitleIX and campus sexual assault: https://t.co/d86MknpQGU,Sexual Harassment,17,kids going to college heres what you need to know about  and campus sexual assault,3
@BarnsGreg Hard to say when the reasons are kept secret. If the ALP genuinely dont think this was sexual harassment… https://t.co/RSOoM7YAAm,Sexual Harassment,21,hard to say when the reasons are kept secret if the alp genuinely dont think this was sexual harassment,3
"Umm- clearly i dont notice red flags… but that’s one, and i think they need to open an investigation for sexual har… https://t.co/q5HOCEzO9b",Sexual Harassment,23,umm clearly i dont notice red flags but thats one and i think they need to open an investigation for sexual har,3
Five Takeaways For Private Employers Following The Cuomo Sexual Harassment Investigation https://t.co/TBzB8udfl1 By @McLaneMiddleton,Sexual Harassment,14,five takeaways for private employers following the cuomo sexual harassment investigation  by,3
"housing situation not stable; getting fucked over by people in trust situations: police harassment, medical profess… https://t.co/8QRviF8oMc",Sexual Harassment,17,housing situation not stable getting fucked over by people in trust situations police harassment medical profess,3
"Personnel of San Gabriel PS conducted info drive and distribution of leaflets pertaining to Sexual Harassment, Anti… https://t.co/br6y2lMesR",Sexual Harassment,18,personnel of san gabriel ps conducted info drive and distribution of leaflets pertaining to sexual harassment anti,3
"CBI to investigate sexual harassment allegations against senior Congress leader Oommen Chandy, and five others link… https://t.co/tRJrtWHXnf",Sexual Harassment,17,cbi to investigate sexual harassment allegations against senior congress leader oommen chandy and five others link,3
the sexualisation and objectification of women has reached such a level that men cannot even look at their own fema… https://t.co/Ne9qwTs3rd,Sexual Harassment,21,the sexualisation and objectification of women has reached such a level that men cannot even look at their own fema,3
"@BandLifePirate @DesmondLala_ Indecent exposure is sexual harassment.
Actually there's a law on this",Sexual Harassment,13,"indecent exposure is sexual harassment
actually theres a law on this",3
"as someone who has experienced sexual harassment, a big middle finger to u anon ang bobo mo https://t.co/qkxnBVSO8a",Sexual Harassment,18,as someone who has experienced sexual harassment a big middle finger to u anon ang bobo mo,3
@snourx @DesmondLala_ Indecent exposure is sexual harassment,Sexual Harassment,7,indecent exposure is sexual harassment,3
@iso_amari2 Indecent exposure is sexual harassment,Sexual Harassment,6,indecent exposure is sexual harassment,3
"Sexual harassment!? S, sorry?",Sexual Harassment,4,sexual harassment s sorry,3
@j_garima_j Suhel Seth’s claim to fame is being a sexual harassment accused ...,Sexual Harassment,13,suhel seths claim to fame is being a sexual harassment accused,3
